video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/uZWrwkn8MWo,/@stripping_architecture,Stripping Architecture,"De-Gentrification Explained: Rethinking Cities Beyond Tourism, Capital & Market Logic",633,1 day,"De-gentrification is not an urban policy or a development strategy — it is a way of thinking. In this video, we introduce the concept ...",2026-01-21 23:46:18.981960
/watch?v=tJha0BL5P8U&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@OhNeeksTV,Onika,A Short Documentary on Gentrification,110K,10 years,a small beginner's film on gentrification. the stories of two individuals.,2026-01-21 23:46:18.986562
/watch?v=KU8Hr-6sRt8&list=RDKU8Hr-6sRt8&start_radio=1&pp=ygUOZ2VudHJpZmljYXRpb26gBwE%3D,/channel/UCpBIbbqUQfdYGM9oUFX0aMA,Deniro Farrar,Deniro Farrar - Gentrification (Official Music Video 2017),764K,8 years,The Shepherd EP 2025: ...,2026-01-21 23:46:18.987896
/watch?v=kIq3EC5JWRQ&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@AFP,AFP News Agency,Shops and restaurants vandalized during anti-gentrification protest in Mexico City | AFP,98K,6 months,Restaurants and retail stores are vandalized in the Colonia Roma neighborhood of Mexico City during a protest against ...,2026-01-21 23:46:18.988985
/watch?v=WPDsrslhKTI&pp=ygUOZ2VudHJpZmljYXRpb27SBwkJhwoBhyohjO8%3D,/@pizzaandproperty1246,Pizza and Property,Top 11 Areas set for Gentrification growth!  - with Oliver Cheung & Todd Sloan,9.6K,8 months,Top 11 Areas set for Gentrification growth! What is gentrification and what do you need to know about it to help you make better ...,2026-01-21 23:46:18.990648
/shorts/7tvp0d14g4Y,/@TheKillianGroup,The Killian Group,"Gentrification in Dallas, Texas!",6.2K,3 years,"A prime example of gentrification in Dallas, Texas! Austin Killian (Texas Real Estate Agent) ...",2026-01-21 23:46:18.991794
/watch?v=KXuo9wZKeCI&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@TeamCoco,Team Coco,Cedric The Entertainer On The First Signs Of Gentrification | CONAN on TBS,34K,6 years,Cedric can tell an area is becoming gentrified when the check cashing places go away and the Starbucks start going up.,2026-01-21 23:46:26.889195
/watch?v=TAyqSJGT7G0&pp=ygUOZ2VudHJpZmljYXRpb24%3D,/@DocoCentral,Documentary Central,New York's Story of Gentrification and Resistance | There Goes The Neighborhood | @DocoCentral,3.1K,11 months,Gentrification is not a new phenomenon. But what was once a process of gradual change has turned into a nightmare of radical ...,2026-01-21 23:46:26.891493
/shorts/nHkxwujwyyc,/@TheONEStreetCompany,The ONE Street Company,Gentrification? Is it EVIL or NECESSARY? Commercial Real Estate POV,1.7K,3 years,"In Real Talk, Real Agents Podcast #2, Sacha Moise (@sachamoise) is joined by ONE Street Commercial Properties Managing ...",2026-01-21 23:46:26.895071
/shorts/qOdLe1ODtB8,/@Shadzilla,Post Pro Shadzilla,Gentrification vs Revitalization #KnowTheDifference #Gentrification #RealEstateDevelopment,972,10 months,Talking about the difference between gentrification and revitalization and the types of projects I go after.,2026-01-21 23:46:26.896408
